START_ID,name,:END_ID,:TYPE
A2100,DOA,acqsys002862,UTILIZES
A2100,DOA,acqsys002903,UTILIZES
A2100,DOA,acqsys002904,UTILIZES
A2100,DOA,acqsys002907,UTILIZES
A2100,DOA,acqsys002918,UTILIZES
A2100,DOA,acqsys002943,UTILIZES
A2100,DOA,acqsys002953,UTILIZES
A2100,DOA,acqsys002959,UTILIZES
A2100,DOA,acqsys002965,UTILIZES
A2100,DOA,acqsys003005,UTILIZES
A2100,DOA,acqsys003053,UTILIZES
A2100,DOA,acqsys003078,UTILIZES
A2100,DOA,acqsys003323,UTILIZES
A2100,DOA,acqsys003402,UTILIZES
A2100,DOA,acqsys003635,UTILIZES
A2100,DOA,acqsys003684,UTILIZES
A2100,DOA,acqsys003706,UTILIZES
A2100,DOA,acqsys003722,UTILIZES
A2100,DOA,acqsys003723,UTILIZES
A2100,DOA,acqsys003724,UTILIZES
A2100,DOA,acqsys003743,UTILIZES
A2100,DOA,acqsys003750,UTILIZES
A2100,DOA,acqsys003762,UTILIZES
A2100,DOA,acqsys003776,UTILIZES
A2100,DOA,acqsys003777,UTILIZES
A2100,DOA,acqsys003795,UTILIZES
A2100,DOA,acqsys003798,UTILIZES
A2100,DOA,acqsys003799,UTILIZES
A2100,DOA,acqsys003867,UTILIZES
A2100,DOA,acqsys003900,UTILIZES
A2100,DOA,acqsys003908,UTILIZES
A2100,DOA,acqsys003926,UTILIZES
A2100,DOA,acqsys003930,UTILIZES
A2100,DOA,acqsys003932,UTILIZES
A2100,DOA,acqsys003942,UTILIZES
A2100,DOA,acqsys003957,UTILIZES
A2100,DOA,acqsys003959,UTILIZES
A2100,DOA,acqsys003960,UTILIZES
A2100,DOA,acqsys003962,UTILIZES
A2100,DOA,acqsys003963,UTILIZES
A2100,DOA,acqsys003980,UTILIZES
A2100,DOA,acqsys003996,UTILIZES
A2100,DOA,acqsys003997,UTILIZES
A2100,DOA,acqsys004004,UTILIZES
A2100,DOA,acqsys004101,UTILIZES
A2100,DOA,acqsys004102,UTILIZES
A2100,DOA,acqsys004103,UTILIZES
A2100,DOA,acqsys004104,UTILIZES
A2100,DOA,acqsys004105,UTILIZES
A2100,DOA,acqsys004106,UTILIZES
A2100,DOA,acqsys004110,UTILIZES
A2100,DOA,acqsys004111,UTILIZES
A2100,DOA,acqsys004112,UTILIZES
A2100,DOA,acqsys004118,UTILIZES
A2100,DOA,acqsys004120,UTILIZES
A2100,DOA,acqsys004179,UTILIZES
A2100,DOA,acqsys004202,UTILIZES
A2100,DOA,acqsys004205,UTILIZES
A2100,DOA,acqsys006167,UTILIZES
A2100,DOA,acqsys006182,UTILIZES
A2100,DOA,acqsys006184,UTILIZES
A2100,DOA,acqsys006207,UTILIZES
A2100,DOA,acqsys006208,UTILIZES
A2100,DOA,acqsys006216,UTILIZES
A2100,DOA,acqsys006218,UTILIZES
A2100,DOA,acqsys006219,UTILIZES
A2100,DOA,acqsys006225,UTILIZES
A2100,DOA,acqsys006227,UTILIZES
A2100,DOA,acqsys006236,UTILIZES
A2100,DOA,acqsys006237,UTILIZES
A2100,DOA,acqsys006248,UTILIZES
A2100,DOA,acqsys006253,UTILIZES
A2100,DOA,acqsys006274,UTILIZES
A2100,DOA,acqsys006275,UTILIZES
A2100,DOA,acqsys006277,UTILIZES
A2100,DOA,acqsys006298,UTILIZES
A2100,DOA,acqsys006299,UTILIZES
A2100,DOA,acqsys006302,UTILIZES
A2100,DOA,acqsys006303,UTILIZES
A2100,DOA,acqsys006309,UTILIZES
A2100,DOA,acqsys006313,UTILIZES
A2100,DOA,acqsys006335,UTILIZES
A2100,DOA,acqsys006343,UTILIZES
A2100,DOA,acqsys006348,UTILIZES
A2100,DOA,acqsys006352,UTILIZES
A2100,DOA,acqsys006353,UTILIZES
A2100,DOA,acqsys006356,UTILIZES
A2100,DOA,acqsys006360,UTILIZES
A2100,DOA,acqsys006389,UTILIZES
A2100,DOA,acqsys006404,UTILIZES
A2100,DOA,acqsys006405,UTILIZES
A2100,DOA,acqsys006417,UTILIZES
A2100,DOA,acqsys006420,UTILIZES
A2100,DOA,acqsys006421,UTILIZES
A2100,DOA,acqsys006422,UTILIZES
A2100,DOA,acqsys006423,UTILIZES
A2100,DOA,acqsys006424,UTILIZES
A2100,DOA,acqsys006428,UTILIZES
A2100,DOA,acqsys006442,UTILIZES
A2100,DOA,acqsys006449,UTILIZES
A2100,DOA,acqsys006450,UTILIZES
A2100,DOA,acqsys006459,UTILIZES
A2100,DOA,acqsys006467,UTILIZES
A2100,DOA,acqsys006468,UTILIZES
A2100,DOA,acqsys006469,UTILIZES
A2100,DOA,acqsys006476,UTILIZES
A2100,DOA,acqsys006513,UTILIZES
A2100,DOA,acqsys006520,UTILIZES
A2100,DOA,acqsys006548,UTILIZES
A2100,DOA,acqsys006550,UTILIZES
A2100,DOA,acqsys006554,UTILIZES
A2100,DOA,acqsys006557,UTILIZES
A2100,DOA,acqsys006558,UTILIZES
A2100,DOA,acqsys006559,UTILIZES
A2100,DOA,acqsys006560,UTILIZES
A2100,DOA,acqsys006573,UTILIZES
A2100,DOA,acqsys006606,UTILIZES
A2100,DOA,acqsys006623,UTILIZES
A2100,DOA,acqsys006625,UTILIZES
A2100,DOA,acqsys006626,UTILIZES
A2100,DOA,acqsys006640,UTILIZES
A2100,DOA,acqsys007374,UTILIZES
A2100,DOA,acqsys007399,UTILIZES
A2100,DOA,acqsys007409,UTILIZES
A2100,DOA,acqsys007417,UTILIZES
A2100,DOA,acqsys007427,UTILIZES
A2100,DOA,acqsys007435,UTILIZES
A2100,DOA,acqsys007443,UTILIZES
A2100,DOA,acqsys007444,UTILIZES
A2100,DOA,acqsys007455,UTILIZES
A2100,DOA,acqsys007666,UTILIZES
A2100,DOA,acqsys007970,UTILIZES
A2100,DOA,acqsys008800,UTILIZES
A2100,DOA,acqsys009158,UTILIZES
A2100,DOA,acqsys009534,UTILIZES
A2100,DOA,acqsys009789,UTILIZES
A2100,DOA,acqsys009898,UTILIZES
A2100,DOA,acqsys010470,UTILIZES
A2100,DOA,acqsys010581,UTILIZES
A2100,DOA,acqsys011737,UTILIZES
A2100,DOA,acqsys011738,UTILIZES
A2100,DOA,acqsys011745,UTILIZES
A2100,DOA,acqsys011883,UTILIZES
A2100,DOA,acqsys012175,UTILIZES
A2100,DOA,acqsys012314,UTILIZES
A2100,DOA,acqsys012578,UTILIZES
A2100,DOA,acqsys013938,UTILIZES
A2100,DOA,acqsys014039,UTILIZES
A2100,DOA,acqsys014177,UTILIZES
A2100,DOA,acqsys015154,UTILIZES
A2100,DOA,acqsys015288,UTILIZES
A2100,DOA,acqsys015361,UTILIZES
A2100,DOA,acqsys015430,UTILIZES
A2100,DOA,acqsys015499,UTILIZES
A2100,DOA,acqsys015664,UTILIZES
A2100,DOA,acqsys015699,UTILIZES
A2100,DOA,acqsys015741,UTILIZES
A2100,DOA,acqsys015820,UTILIZES
A2100,DOA,acqsys016023,UTILIZES
A2100,DOA,acqsys016135,UTILIZES
A2100,DOA,acqsys016136,UTILIZES
A2100,DOA,acqsys016145,UTILIZES
A2100,DOA,acqsys016165,UTILIZES
A2100,DOA,acqsys016471,UTILIZES
A2100,DOA,acqsys016745,UTILIZES
A2100,DOA,acqsys016805,UTILIZES
A2100,DOA,acqsys016810,UTILIZES
A2100,DOA,acqsys016923,UTILIZES
